[2023/12/05 16:35:22.176]	CPUUsage:0.000000
[2023/12/05 16:35:23.166]	CPUUsage:16.696918
[2023/12/05 16:35:24.175]	CPUUsage:17.032440
[2023/12/05 16:35:25.168]	CPUUsage:16.662197
[2023/12/05 16:35:26.179]	CPUUsage:16.858648
[2023/12/05 16:35:27.166]	CPUUsage:16.629086
[2023/12/05 16:35:28.166]	CPUUsage:16.668478
[2023/12/05 16:35:29.166]	CPUUsage:16.668459
[2023/12/05 16:35:30.174]	CPUUsage:17.043800
[2023/12/05 16:35:31.174]	CPUUsage:16.668478
[2023/12/05 16:35:32.174]	CPUUsage:16.668482
[2023/12/05 16:35:33.174]	CPUUsage:16.668455
[2023/12/05 16:35:34.174]	CPUUsage:16.668499
[2023/12/05 16:35:35.174]	CPUUsage:16.668465
[2023/12/05 16:35:36.165]	CPUUsage:16.543991
[2023/12/05 16:35:37.165]	CPUUsage:23.321905
[2023/12/05 16:35:38.165]	CPUUsage:30.602287
[2023/12/05 16:35:39.165]	CPUUsage:30.992901
[2023/12/05 16:35:40.164]	CPUUsage:30.992943
[2023/12/05 16:35:41.164]	CPUUsage:30.341854
[2023/12/05 16:35:42.164]	CPUUsage:30.211617
[2023/12/05 16:35:43.164]	CPUUsage:30.602268
[2023/12/05 16:35:44.180]	CPUUsage:30.772533
[2023/12/05 16:35:45.180]	CPUUsage:30.472080
[2023/12/05 16:35:46.179]	CPUUsage:30.602274
[2023/12/05 16:35:47.179]	CPUUsage:17.449816
[2023/12/05 16:35:48.179]	CPUUsage:16.668474
[2023/12/05 16:35:49.179]	CPUUsage:16.668468
[2023/12/05 16:35:50.179]	CPUUsage:16.798700
[2023/12/05 16:35:51.179]	CPUUsage:16.668478
[2023/12/05 16:35:52.179]	CPUUsage:16.668470
[2023/12/05 16:35:53.179]	CPUUsage:16.785755
[2023/12/05 16:35:54.171]	CPUUsage:20.494026
[2023/12/05 16:35:55.170]	CPUUsage:25.002712
[2023/12/05 16:35:56.178]	CPUUsage:25.470333
[2023/12/05 16:35:57.177]	CPUUsage:25.002712
[2023/12/05 16:35:58.177]	CPUUsage:25.002712
[2023/12/05 16:35:59.177]	CPUUsage:25.002705
[2023/12/05 16:36:00.177]	CPUUsage:25.002708
[2023/12/05 16:36:01.177]	CPUUsage:25.002726
[2023/12/05 16:36:02.171]	CPUUsage:24.621471
[2023/12/05 16:36:03.172]	CPUUsage:25.766205
[2023/12/05 16:36:04.179]	CPUUsage:24.812407
[2023/12/05 16:36:05.172]	CPUUsage:24.934284
[2023/12/05 16:36:06.171]	CPUUsage:25.002712
[2023/12/05 16:36:07.166]	CPUUsage:25.400053
[2023/12/05 16:36:08.180]	CPUUsage:25.180790
[2023/12/05 16:36:09.180]	CPUUsage:25.124363
[2023/12/05 16:36:10.174]	CPUUsage:25.271675
[2023/12/05 16:36:11.174]	CPUUsage:25.002712
[2023/12/05 16:36:12.180]	CPUUsage:24.990700
[2023/12/05 16:36:13.178]	CPUUsage:25.161894
[2023/12/05 16:36:14.178]	CPUUsage:25.002735
[2023/12/05 16:36:15.178]	CPUUsage:25.002687
[2023/12/05 16:36:16.178]	CPUUsage:25.002733
[2023/12/05 16:36:17.178]	CPUUsage:25.002712
[2023/12/05 16:36:18.178]	CPUUsage:25.002684
[2023/12/05 16:36:19.178]	CPUUsage:25.002737
[2023/12/05 16:36:20.178]	CPUUsage:25.002712
[2023/12/05 16:36:21.170]	CPUUsage:24.801161
[2023/12/05 16:36:22.170]	CPUUsage:25.002728
[2023/12/05 16:36:23.170]	CPUUsage:25.002686
[2023/12/05 16:36:24.170]	CPUUsage:25.002733
[2023/12/05 16:36:25.169]	CPUUsage:25.002689
[2023/12/05 16:36:26.169]	CPUUsage:25.002724
[2023/12/05 16:36:27.169]	CPUUsage:25.002695
[2023/12/05 16:36:28.169]	CPUUsage:25.002735
[2023/12/05 16:36:29.169]	CPUUsage:25.002701
[2023/12/05 16:36:30.169]	CPUUsage:25.002703
[2023/12/05 16:36:31.169]	CPUUsage:25.002729
[2023/12/05 16:36:32.169]	CPUUsage:25.002708
[2023/12/05 16:36:33.169]	CPUUsage:25.002689
[2023/12/05 16:36:34.168]	CPUUsage:25.002710
[2023/12/05 16:36:35.168]	CPUUsage:25.002708
[2023/12/05 16:36:36.168]	CPUUsage:25.002737
[2023/12/05 16:36:37.168]	CPUUsage:25.002686
[2023/12/05 16:36:38.168]	CPUUsage:25.132935
[2023/12/05 16:36:39.168]	CPUUsage:25.002735
[2023/12/05 16:36:40.168]	CPUUsage:25.002710
[2023/12/05 16:36:41.168]	CPUUsage:25.002684
[2023/12/05 16:36:42.168]	CPUUsage:25.002741
[2023/12/05 16:36:43.167]	CPUUsage:25.002665
[2023/12/05 16:36:44.167]	CPUUsage:25.002752
[2023/12/05 16:36:45.167]	CPUUsage:25.002687
[2023/12/05 16:36:46.167]	CPUUsage:25.002735
[2023/12/05 16:36:47.167]	CPUUsage:25.002689
[2023/12/05 16:36:48.167]	CPUUsage:19.924030
[2023/12/05 16:36:49.167]	CPUUsage:16.668493
[2023/12/05 16:36:50.167]	CPUUsage:16.668449
[2023/12/05 16:36:51.167]	CPUUsage:16.668465
[2023/12/05 16:36:52.166]	CPUUsage:16.668486
[2023/12/05 16:36:53.166]	CPUUsage:16.668465
[2023/12/05 16:36:54.166]	CPUUsage:16.798706
[2023/12/05 16:36:55.166]	CPUUsage:16.668478
[2023/12/05 16:36:56.166]	CPUUsage:16.668474
[2023/12/05 16:36:57.166]	CPUUsage:16.798695
[2023/12/05 16:36:58.166]	CPUUsage:16.668459
[2023/12/05 16:36:59.174]	CPUUsage:16.912088
[2023/12/05 16:37:00.180]	CPUUsage:16.711105
[2023/12/05 16:37:01.177]	CPUUsage:16.715631
[2023/12/05 16:37:02.177]	CPUUsage:16.668486
[2023/12/05 16:37:03.176]	CPUUsage:16.668461
[2023/12/05 16:37:04.176]	CPUUsage:16.668478
[2023/12/05 16:37:05.176]	CPUUsage:16.668484
[2023/12/05 16:37:06.176]	CPUUsage:16.668467
[2023/12/05 16:37:07.179]	CPUUsage:16.746410
[2023/12/05 16:37:08.175]	CPUUsage:16.738241
[2023/12/05 16:37:09.175]	CPUUsage:16.668476
[2023/12/05 16:37:10.169]	CPUUsage:19.385920
[2023/12/05 16:37:11.169]	CPUUsage:19.793833
[2023/12/05 16:37:12.169]	CPUUsage:19.793797
[2023/12/05 16:37:13.168]	CPUUsage:19.793814
[2023/12/05 16:37:14.168]	CPUUsage:19.793810
[2023/12/05 16:37:15.168]	CPUUsage:19.793827
[2023/12/05 16:37:16.168]	CPUUsage:19.793798
[2023/12/05 16:37:17.175]	CPUUsage:20.435316
[2023/12/05 16:37:18.175]	CPUUsage:19.793837
[2023/12/05 16:37:19.175]	CPUUsage:19.793797
[2023/12/05 16:37:20.175]	CPUUsage:19.793812
[2023/12/05 16:37:21.174]	CPUUsage:19.793816
[2023/12/05 16:37:22.174]	CPUUsage:19.793806
[2023/12/05 16:37:23.174]	CPUUsage:19.793818
[2023/12/05 16:37:24.174]	CPUUsage:19.793816
[2023/12/05 16:37:25.174]	CPUUsage:19.793804
[2023/12/05 16:37:26.179]	CPUUsage:19.818327
[2023/12/05 16:37:27.165]	CPUUsage:19.952341
[2023/12/05 16:37:28.165]	CPUUsage:19.924025
[2023/12/05 16:37:29.164]	CPUUsage:19.924032
[2023/12/05 16:37:30.164]	CPUUsage:19.924044
[2023/12/05 16:37:31.164]	CPUUsage:19.924042
[2023/12/05 16:37:32.180]	CPUUsage:20.002190
[2023/12/05 16:37:33.180]	CPUUsage:19.793781
[2023/12/05 16:37:34.180]	CPUUsage:19.793823
[2023/12/05 16:37:35.179]	CPUUsage:19.793837
[2023/12/05 16:37:36.179]	CPUUsage:19.793798
[2023/12/05 16:37:37.179]	CPUUsage:19.793802
[2023/12/05 16:37:38.179]	CPUUsage:19.793818
[2023/12/05 16:37:39.179]	CPUUsage:19.793806
[2023/12/05 16:37:40.179]	CPUUsage:19.793816
[2023/12/05 16:37:41.179]	CPUUsage:19.793814
[2023/12/05 16:37:42.179]	CPUUsage:19.793797
[2023/12/05 16:37:43.179]	CPUUsage:19.793850
[2023/12/05 16:37:44.178]	CPUUsage:19.793793
[2023/12/05 16:37:45.178]	CPUUsage:19.793804
[2023/12/05 16:37:46.178]	CPUUsage:19.793821
[2023/12/05 16:37:47.178]	CPUUsage:19.793825
[2023/12/05 16:37:48.178]	CPUUsage:19.793818
[2023/12/05 16:37:49.178]	CPUUsage:19.793795
[2023/12/05 16:37:50.178]	CPUUsage:19.793819
[2023/12/05 16:37:51.178]	CPUUsage:19.793806
[2023/12/05 16:37:52.178]	CPUUsage:19.793816
[2023/12/05 16:37:53.177]	CPUUsage:19.793814
[2023/12/05 16:37:54.177]	CPUUsage:19.793810
[2023/12/05 16:37:55.177]	CPUUsage:19.793808
[2023/12/05 16:37:56.177]	CPUUsage:19.793823
[2023/12/05 16:37:57.177]	CPUUsage:19.793827
[2023/12/05 16:37:58.177]	CPUUsage:19.793787
[2023/12/05 16:37:59.177]	CPUUsage:19.793825
[2023/12/05 16:38:00.177]	CPUUsage:19.793798
[2023/12/05 16:38:01.177]	CPUUsage:19.793829
[2023/12/05 16:38:02.176]	CPUUsage:19.793812
[2023/12/05 16:38:03.176]	CPUUsage:19.793825
[2023/12/05 16:38:04.176]	CPUUsage:19.793793
[2023/12/05 16:38:05.179]	CPUUsage:19.739119
[2023/12/05 16:38:06.167]	CPUUsage:19.900692
[2023/12/05 16:38:07.167]	CPUUsage:19.793705
[2023/12/05 16:38:08.167]	CPUUsage:19.793930
[2023/12/05 16:38:09.167]	CPUUsage:19.793808
[2023/12/05 16:38:10.166]	CPUUsage:19.793800
[2023/12/05 16:38:11.166]	CPUUsage:19.793821
[2023/12/05 16:38:12.166]	CPUUsage:19.793806
[2023/12/05 16:38:13.166]	CPUUsage:19.793818
[2023/12/05 16:38:14.166]	CPUUsage:19.793816
[2023/12/05 16:38:15.166]	CPUUsage:19.793814
[2023/12/05 16:38:16.166]	CPUUsage:19.793829
[2023/12/05 16:38:17.166]	CPUUsage:19.793806
[2023/12/05 16:38:18.166]	CPUUsage:19.793797
[2023/12/05 16:38:19.165]	CPUUsage:19.793804
[2023/12/05 16:38:20.165]	CPUUsage:19.793848
[2023/12/05 16:38:21.165]	CPUUsage:19.793791
[2023/12/05 16:38:22.165]	CPUUsage:19.793835
[2023/12/05 16:38:23.165]	CPUUsage:19.793781
[2023/12/05 16:38:24.165]	CPUUsage:19.793825
[2023/12/05 16:38:25.165]	CPUUsage:19.793802
[2023/12/05 16:38:26.165]	CPUUsage:19.793818
[2023/12/05 16:38:27.165]	CPUUsage:19.793802
[2023/12/05 16:38:28.165]	CPUUsage:19.924049
[2023/12/05 16:38:29.164]	CPUUsage:19.924038
[2023/12/05 16:38:30.164]	CPUUsage:19.924057
[2023/12/05 16:38:31.164]	CPUUsage:19.924013
[2023/12/05 16:38:32.180]	CPUUsage:19.873968
[2023/12/05 16:38:33.180]	CPUUsage:19.793789
[2023/12/05 16:38:34.179]	CPUUsage:19.793819
[2023/12/05 16:38:35.179]	CPUUsage:19.793806
[2023/12/05 16:38:36.179]	CPUUsage:19.793825
[2023/12/05 16:38:37.179]	CPUUsage:19.793814
[2023/12/05 16:38:38.179]	CPUUsage:19.793810
[2023/12/05 16:38:39.179]	CPUUsage:19.793831
[2023/12/05 16:38:40.179]	CPUUsage:19.793793
[2023/12/05 16:38:41.179]	CPUUsage:19.793823
[2023/12/05 16:38:42.179]	CPUUsage:19.793802
[2023/12/05 16:38:43.179]	CPUUsage:19.793818
[2023/12/05 16:38:44.178]	CPUUsage:19.793818
[2023/12/05 16:38:45.178]	CPUUsage:19.793810
[2023/12/05 16:38:46.178]	CPUUsage:19.793812
[2023/12/05 16:38:47.178]	CPUUsage:19.793814
[2023/12/05 16:38:48.178]	CPUUsage:19.793825
[2023/12/05 16:38:49.178]	CPUUsage:19.793800
[2023/12/05 16:38:50.178]	CPUUsage:19.793808
[2023/12/05 16:38:51.178]	CPUUsage:19.793816
[2023/12/05 16:38:52.178]	CPUUsage:19.793812
[2023/12/05 16:38:53.177]	CPUUsage:19.793818
[2023/12/05 16:38:54.177]	CPUUsage:19.793806
[2023/12/05 16:38:55.177]	CPUUsage:19.793837
[2023/12/05 16:38:56.177]	CPUUsage:19.793816
[2023/12/05 16:38:57.177]	CPUUsage:19.793789
[2023/12/05 16:38:58.177]	CPUUsage:19.793837
[2023/12/05 16:38:59.177]	CPUUsage:19.793798
[2023/12/05 16:39:00.177]	CPUUsage:19.793806
[2023/12/05 16:39:01.177]	CPUUsage:19.793837
[2023/12/05 16:39:02.176]	CPUUsage:19.793797
[2023/12/05 16:39:03.176]	CPUUsage:19.793806
[2023/12/05 16:39:04.176]	CPUUsage:19.793819
[2023/12/05 16:39:05.176]	CPUUsage:19.793814
[2023/12/05 16:39:06.176]	CPUUsage:19.793806
[2023/12/05 16:39:07.176]	CPUUsage:19.793837
[2023/12/05 16:39:08.176]	CPUUsage:19.793797
[2023/12/05 16:39:09.176]	CPUUsage:19.793802
[2023/12/05 16:39:10.176]	CPUUsage:19.793825
[2023/12/05 16:39:11.175]	CPUUsage:19.793808
[2023/12/05 16:39:12.175]	CPUUsage:19.793810
[2023/12/05 16:39:13.175]	CPUUsage:19.793818
[2023/12/05 16:39:14.175]	CPUUsage:19.793810
[2023/12/05 16:39:15.175]	CPUUsage:17.059143
[2023/12/05 16:39:16.175]	CPUUsage:16.668467
[2023/12/05 16:39:17.175]	CPUUsage:16.668478
[2023/12/05 16:39:18.175]	CPUUsage:16.668493
[2023/12/05 16:39:19.175]	CPUUsage:16.668449
